seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,0,disc,49,100,28573.57,26858.85714285714,-1.6632653061224492,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,10.979591836734693,12.0,1.6632653061224492,0.0,10.979591836734693
2026,1,grating_R,50,100,27251.69,28154.52,-7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,0.25,-3.5,2.5,7.5,0.0,0.0
2026,2,grating_R,50,100,27209.51,27276.48,-8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,1.0,8.0,0.0,0.0
2026,3,grating_L,50,100,27172.27,27128.9,-2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,2.0,2.5,0.0,0.0
2026,4,grating_L,50,100,27160.06,27181.4,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.5,-4.0,0.0,0.0
2026,5,grating_L,50,100,27173.55,27221.26,-1.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,-1.0,3.0,1.5,0.0,0.0
2026,6,bright_L,50,100,27088.28,27218.44,1.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.5,0.0,0.0
2026,7,grating_R,50,100,27221.07,27246.98,-5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,-1.0,2.0,5.0,0.0,0.25
2026,8,bright_R,50,100,27147.61,27310.54,2.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,-1.25,4.25,-2.5,0.0,0.0
2026,9,grating_L,50,100,27205.23,27244.42,2.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,2.0,-2.5,0.0,0.5
2026,10,bright_R,50,100,27131.93,27296.54,3.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.75,-3.5,0.0,0.25
2026,11,grating_R,50,100,27195.51,27317.42,1.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,0.0,0.0
2026,12,grating_L,50,100,27242.15,27263.92,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,0.0,-4.25,0.75,4.0,0.0,0.0
2026,13,disc,50,100,28537.97,27350.16,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,4.75,14.25,16.25,-6.0,0.0,14.25
2026,14,loom,50,100,29202.1,27898.16,-1.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,9.25,24.25,28.25,1.5,0.0,24.25
2026,15,disc,50,100,28882.19,29102.26,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,6.25,4.0,21.0,-4.0,0.0,4.0
2026,16,grey,50,100,27521.34,28205.86,-4.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-9.0,1.0,4.5,0.0,0.0
2026,17,bright_R,50,100,26986.07,27479.42,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,3.0,-5.0,0.0,0.0
2026,18,disc,50,100,28490.21,26996.84,1.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,12.0,13.0,-1.5,0.0,12.0
2026,19,disc,50,100,28605.45,28189.08,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.25,11.25,2.0,0.0,7.25
2026,20,disc,50,100,28561.87,28260.88,-9.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,4.25,7.5,14.5,9.5,0.0,7.5
2026,21,bright_L,50,100,27078.45,28158.88,-7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,0.25,-6.0,3.5,7.0,0.0,0.0
2026,22,grating_R,50,100,27065.53,27109.98,-5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,3.5,5.5,0.0,0.5
2026,23,grating_R,50,100,27048.84,27089.86,-3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,2.5,3.0,0.0,1.0
2026,24,loom,50,100,29075.64,27227.66,-2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,27.25,28.25,2.5,0.0,27.25
2026,25,grating_L,50,100,27224.34,28429.34,-4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.5,-12.75,1.75,4.0,0.0,0.0
2026,26,grating_R,50,100,27102.25,27183.38,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.5,4.0,0.0,0.5
2026,27,grating_L,50,100,27125.68,27274.24,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.75,4.75,-5.0,0.0,2.75
2026,28,bright_R,50,100,27063.91,27277.32,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,2.25,-3.0,0.0,0.75
2026,29,disc,50,100,28779.73,27362.88,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,2.75,13.0,17.0,-8.5,0.0,13.0
2026,30,grey,50,100,28123.69,28589.48,-0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,1.5,-6.5,8.5,0.5,0.0,0.0
2026,31,grating_L,50,100,27425.95,28194.16,1.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.0,-2.0,7.0,-1.5,0.0,0.0
2026,32,grey,50,100,27807.12,27490.14,-0.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.5,4.5,0.5,0.0,0.0
2026,33,grating_R,50,100,27388.48,27817.48,-3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,-1.5,2.5,3.0,0.0,0.0
2026,34,grey,50,100,27949.05,27620.66,1.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,-0.5,3.5,-1.5,0.0,0.0
2026,35,loom,50,100,29389.7,28027.48,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,8.25,18.75,23.75,-2.0,0.0,18.75
2026,36,grey,50,100,28516.82,29035.8,-4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,2.25,-15.5,9.0,4.5,0.0,0.0
2026,37,bright_R,50,100,27661.4,28691.7,1.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,1.75,-4.5,10.5,-1.5,0.0,0.0
2026,38,disc,50,100,29066.78,27835.66,-2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,6.75,21.0,23.0,2.5,0.0,21.0
2026,39,grey,50,100,28785.41,28989.2,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,-1.75,13.25,3.0,0.0,1.0
2026,40,disc,50,100,29224.92,28735.76,-1.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,7.25,15.75,25.25,1.5,0.0,15.75
2026,41,grating_R,50,100,27837.78,29005.56,0.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1.0,-21.5,7.0,-0.5,0.0,0.0
2026,42,bright_L,50,100,27423.9,27965.9,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,1.25,-8.0,3.5,-4.0,0.0,0.0
2026,43,grey,50,100,28242.62,27841.72,-4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.5,10.5,4.0,0.0,8.5
2026,44,grating_L,50,100,27540.11,28231.1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,-0.5,6.0,-2.0,0.0,0.25
2026,45,grating_R,50,100,27569.79,27932.32,0.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.5,-4.75,4.25,-0.5,0.0,0.0
2026,46,loom,50,100,29474.37,27832.12,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,12.75,27.0,32.5,0.0,0.0,27.0
2026,47,grey,50,100,28719.62,29161.16,-6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.25,2.25,-9.75,11.75,6.0,0.0,0.0
2026,48,grey,50,100,28699.26,28693.48,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.75,1.25,9.75,1.0,0.0,1.25
2026,49,grating_R,50,100,27785.36,28735.98,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1.25,-2.5,8.0,-3.0,0.0,0.0
2026,50,grating_R,50,100,27588.31,27942.82,-6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.75,4.75,6.0,0.0,2.75
