seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,0,disc,49,100,9821.37,10262.183673469388,2.5,2.5,-7.2857142857142865,7.0,1.3979591836734695,6.5,0.4591836734693877,2.5,1.6760204081632661,11.625,1.4489795918367356,29.0,-1.5153061224489797,11.75,1.0,1.0,-3.3520408163265323,26.75,-9.785714285714286,0.9285714285714286,1.6760204081632661
2026,1,grating_R,50,100,9436.29,9774.94,-1.0,0.0,-3.5,4.5,2.0,6.0,-3.5,2.5,-0.375,11.625,0.5,24.0,-3.0,9.0,1.0,1.0,0.5,25.0,-2.5,-0.75,1.0
2026,2,grating_R,50,100,9555.28,9225.28,1.0,1.0,0.0,5.0,3.0,8.0,-2.0,5.0,-1.375,10.875,0.75,25.75,6.5,11.5,-0.25,0.75,4.75,29.75,-1.0,0.5,6.5
2026,3,grating_L,50,100,9376.83,9555.6,0.0,0.0,-2.0,5.0,4.5,6.5,-6.0,1.0,0.625,11.625,0.5,27.0,-2.25,7.75,0.0,0.5,-0.75,26.25,-2.0,-0.75,0.625
2026,4,grating_L,50,100,9623.73,9606.42,-1.5,0.5,1.5,8.5,2.5,6.5,0.0,4.0,-0.25,12.25,2.25,27.75,0.5,11.0,0.25,1.25,2.75,28.25,3.0,1.25,2.75
2026,5,grating_L,50,100,9620.05,9758.04,0.5,0.5,-3.5,4.5,-1.5,6.5,-6.5,2.5,-1.25,12.0,2.25,27.75,-1.25,9.25,0.5,1.0,3.5,29.5,-4.0,-4.0,3.5
2026,6,bright_L,50,100,9129.79,9547.16,0.5,0.5,-1.5,6.5,1.0,5.0,2.0,7.0,1.25,11.75,-1.5,22.5,-0.5,9.5,-0.75,0.75,-2.25,25.25,-2.0,1.5,1.25
2026,7,grating_R,50,100,9118.77,10004.92,0.5,0.5,0.5,5.5,-1.0,4.0,-4.0,3.0,-0.875,10.625,-6.25,20.25,-1.25,7.75,0.25,0.25,-6.25,23.75,0.0,-2.5,0.25
2026,8,bright_R,50,100,8706.05,9255.6,0.5,0.5,-2.5,3.5,0.0,4.0,2.5,5.5,0.5,11.5,-1.75,21.75,-1.25,7.25,1.0,1.0,-1.75,23.75,-3.0,1.25,1.0
2026,9,grating_L,50,100,4665.87,8947.84,0.0,0.0,-5.0,4.0,0.0,2.0,-1.0,3.0,-4.125,5.375,-9.5,11.5,-3.5,2.5,0.0,0.5,-13.75,13.25,-5.0,-0.5,0.0
2026,10,bright_R,50,100,8868.4,2454.82,0.5,0.5,6.0,6.0,3.5,3.5,3.0,4.0,7.875,10.125,19.5,23.5,4.75,6.75,1.0,1.0,20.0,26.0,5.5,3.25,20.0
